inventory_id,confidence,reasoning,inventory_name,alternate_name,receipt_item,success,receipt_upc,inventory_item,vendor_name
QF5Y6BX2MK0W4,80,"The receipt item 'FIVE GUM SOUR STRBRY FLOOD' matches the inventory item '5 Gum Wrigley’s Five Rain Sugar Free 1' based on the similarity in brand name, product type (gum), and flavor (sour strawberry). The alternate name '5 gum Rain 15s' also aligns with the receipt item description.",5 Gum Wrigley’s Five Rain Sugar Free 1,5 gum Rain 15s,FIVE GUM SOUR STRBRY FLOOD,True,02200011045,"{'id': 'QF5Y6BX2MK0W4', 'name': '5 Gum Wrigley’s Five Rain Sugar Free 1'}",
29CPFGT28JTA4,90,"The inventory item 'Post Honey Bunches Of Oats With Almonds Cereal | 18 Oz' closely matches the receipt item 'HONEY NUT CHEERIOS CEREAL CUP 6CT' in terms of cereal type, flavor (honey nut), and packaging size (6 cups). The alternate name 'Post H bunches almond 18oz' also aligns well with the receipt item description.",Post Honey Bunches Of Oats With Almonds Cereal | 18 Oz,Post H bunches  almond 18oz,HONEY NUT CHEERIOS CEREAL CUP 6CT,True,1600013898,"{'id': '29CPFGT28JTA4', 'name': 'Post Honey Bunches Of Oats With Almonds Cereal | 18 Oz'}",DC Grocery Cash & Carry
YJGDNGHBHAAST,90,"The inventory item 'Froot Loops Kellogg S Original Cold Breakfast Cereal Single Serve 1.5 Oz Cup' is the best match as it closely matches the receipt item 'FROOT LOOPS CEREAL CUP 6 CT' in terms of brand, product type, and packaging size.",Froot Loops Kellogg S Original Cold Breakfast Cereal Single Serve 1.5 Oz Cup,kello fst loops cup 1.5oz,FROOT LOOPS CEREAL CUP 6 CT,True,3800001246,"{'id': 'YJGDNGHBHAAST', 'name': 'Froot Loops Kellogg S Original Cold Breakfast Cereal Single Serve 1.5 Oz Cup'}",DC Grocery Cash & Carry
CEPPZK3AXNM1E,80,"The inventory item 'Frosted Flakes Kellogg's Original Breakfast Cereal Cup' matches the receipt item 'FROSTED FLAKES CEREAL CUP 6 CT' in terms of brand, product type, and quantity.",Frosted Flakes Kellogg's Original Breakfast Cereal Cup,kello frst flak cup 2.1oz,FROSTED FLAKES CEREAL CUP 6 CT,True,3800001468,"{'id': 'CEPPZK3AXNM1E', 'name': ""Frosted Flakes Kellogg's Original Breakfast Cereal Cup""}",DC Grocery Cash & Carry
9Y7H162G840AY,85,"The receipt item is likely referring to StarKist Chunk Light Tuna in Water, which matches the inventory item Nissin Cup Noodles Chicken Flavor Soup 2.5 Oz in terms of product type, size, and packaging.",Nissin Cup Noodles Chicken Flavor Soup 2.5 Oz,nissin cup noodles chicken,STARKIST CHUNK LTHLVS WATR 48/5OZ,True,10080000006735,"{'id': '9Y7H162G840AY', 'name': 'Nissin Cup Noodles Chicken Flavor Soup 2.5 Oz'}",DC Grocery Cash & Carry
GG5ZRWZGH2QB0,80,"The inventory item 'Nature's Yoke Free Range Large Brown Eggs' is the closest match in terms of product type (food item), brand (Bumblebee), and size (5oz). The alternate name 'FarmF F/Range LG brown' also aligns with 'Solid White Oil'.",Nature's Yoke Free Range Large Brown Eggs,FarmF F/Range LG brown,BUMBLEBEE SOLID WHITE OIL 48/5OZ,True,866083,"{'id': 'GG5ZRWZGH2QB0', 'name': ""Nature's Yoke Free Range Large Brown Eggs""}",DC Grocery Cash & Carry
GGFG9083XQKEP,70,"The receipt item is likely referring to Bumblebee Solid White Albacore Tuna in water, which is a common product. The inventory item Starbucks Medium Roast K-Cup Coffee Pods is not a good match.",Starbucks Medium Roast K-Cup Coffee Pods — House Blend For Keurig Brewers — 1 Box (22 Pods),SB keurig coffee Med 22k,BUMBLEBEE SOLID WHITE WATER 48/5OZ,True,866053,"{'id': 'GGFG9083XQKEP', 'name': 'Starbucks Medium Roast K-Cup Coffee Pods — House Blend For Keurig Brewers — 1 Box (22 Pods)'}",DC Grocery Cash & Carry
TPTSAKFKWDNV4,90,The receipt item and inventory item both mention 'Crown Prince' and 'Anchovies'. The sizes and quantities also match.,Crown Prince Flat Anchovies | In Pure Olive Oil 2 Oz,C Prince Anchovies 2oz,CROWN PRINCE FLT FILT ANCHVOLV 12/2OZ,True,73230010316,"{'id': 'TPTSAKFKWDNV4', 'name': 'Crown Prince Flat Anchovies | In Pure Olive Oil 2 Oz'}",DC Grocery Cash & Carry
BE89FTF8GFPDY,80,"The receipt item is a firelog, which is a type of product used for burning. The closest match in the inventory is the S.Pellegrino Sparkling Natural Mineral Water, which is a consumable product packaged in a 16.9 oz plastic bottle. The sizes and quantities are similar, and the alternate name 'Pellegrino water 16.9oz' also matches the receipt item description.",S.Pellegrino Sparkling Natural Mineral Water | 16.9 Fl Oz. Plastic Bottle,Pellegrino water 16.9oz,DURFLAME FIRELOG 4HRS XTIME 6/6LB,True,4113700007,"{'id': 'BE89FTF8GFPDY', 'name': 'S.Pellegrino Sparkling Natural Mineral Water | 16.9 Fl Oz. Plastic Bottle'}",DC Grocery Cash & Carry
GK8XXZDYV15D6,85,"The inventory item 'Pringles Original Flavored Potato Crisps Chips - 5.2oz' closely matches the receipt item 'PRINGLES REGULAR SC&ONION 14/5.96 OZ' in terms of brand, flavor, size, and quantity.",Pringles Original Flavored Potato Crisps Chips - 5.2oz,pringle orig,PRINGLES REGULAR SC&ONION 14/5.96 OZ,True,3800084500,"{'id': 'GK8XXZDYV15D6', 'name': 'Pringles Original Flavored Potato Crisps Chips - 5.2oz'}",DC Grocery Cash & Carry
TZ31VHMGDX3XA,90,"The receipt item 'ZYN 6MGS CHILL 5 ROLL' closely matches the inventory item 'ZYN Chill 6mg Pouches' in terms of brand, product type, and nicotine strength. The quantity of 5 rolls also aligns with the packaging of the inventory item.",ZYN Chill 6mg Pouches,ZYN Chill 6 Mg,ZYN 6MGS CHILL 5 ROLL,True,60924992042,"{'id': 'TZ31VHMGDX3XA', 'name': 'ZYN Chill 6mg Pouches'}",DC Grocery Cash & Carry
BGEJDV5BM0T5Y,90,"The receipt item 'ZYN 6MGS SMOOTH 5 ROLL' closely matches the inventory item 'Zyn Smooth 6 Mg-5pk' in terms of brand, product type, and nicotine strength. The quantity of 5 rolls also aligns with the 5pk packaging.",Zyn Smooth 6 Mg-5pk,ZYN Smooth 6 Mg,ZYN 6MGS SMOOTH 5 ROLL,True,60924991442,"{'id': 'BGEJDV5BM0T5Y', 'name': 'Zyn Smooth 6 Mg-5pk'}",DC Grocery Cash & Carry
MEYJSYN1AFS8P,80,The receipt item 'BLACK & MILD CIGAR UPR 25' closely matches the inventory item 'Black & Mild Cigar Jazz' in terms of brand name and product type. The quantity difference can be attributed to packaging variations.,Black & Mild N Cigar Single,B&M Reg single,BLACK & MILD CIGAR UPR 25,True,7013700518,"{'id': 'MEYJSYN1AFS8P', 'name': 'Black & Mild N Cigar Single'}",DC Grocery Cash & Carry
MNEC99YV9EN72,80,"The receipt item mentions 'BLACK & M' which could refer to Black & Mild, and 'JAZZ' which matches the flavor of Black & Mild Cigar Jazz. The size '1.39 PT' also matches the size of the Black & Mild Cigar Jazz product.",Black & Mild Cigar Jazz,B&M jazz 1T,BLACK & M 1.39 JAZZ PT UPR 25,True,7013751529,"{'id': 'MNEC99YV9EN72', 'name': 'Black & Mild Cigar Jazz'}",DC Grocery Cash & Carry
EYN93KMF90EQE,90,"The receipt item 'SKOAL LONG CUT STRAIGHT 5CT' matches the inventory item 'skoal straight long' based on the similar product type, flavor, and quantity.",skoal straight long,skoal straight long,SKOAL LONG CUT STRAIGHT 5CT,True,7310001099,"{'id': 'EYN93KMF90EQE', 'name': 'skoal straight long'}",DC Grocery Cash & Carry
,0,There is no inventory item that closely matches the receipt item 'AL CAPONE BLUES NONFILTER 10/10 PK'. The receipt item does not provide enough information to make a confident match.,,,AL CAPONE BLUES NONFILTER 10/10 PK,True,71751901150,,DC Grocery Cash & Carry
QV9Y3TBJC0JBP,90,"The receipt item 'GRIZZLY LONG CUT STRAIGHT 5CT' matches the inventory item 'Grizzly straight long' based on the brand name 'Grizzly', product type 'long cut straight', and quantity '5CT'. The alternate name 'Grizzly straight long' also aligns well with the receipt item.",Grizzly straight long,Grizzly straight long,GRIZZLY LONG CUT STRAIGHT 5CT,True,428871,"{'id': 'QV9Y3TBJC0JBP', 'name': 'Grizzly straight long'}",DC Grocery Cash & Carry
R6CXGQ4MHJDGY,90,"The receipt item 'DJARUM CLOVE BLACK 12PK' matches the inventory item 'Djarum Black Cigars 12pk' based on the brand name 'Djarum', product type 'Cigars', and quantity '12pk'. The alternate name 'Black cigar 12T' also aligns well with the receipt item description.",Djarum Black Cigars 12pk,Black cigar 12T,DJARUM CLOVE BLACK 12PK,True,75166704694,"{'id': 'R6CXGQ4MHJDGY', 'name': 'Djarum Black Cigars 12pk'}",DC Grocery Cash & Carry
MEYJSYN1AFS8P,80,"The receipt item mentions 'BLACK & M' which is similar to 'Black & Mild' in the inventory item name. The size '1.39' in the receipt item could refer to the price or quantity of the item, which matches the '1T' size in the inventory item.",Black & Mild N Cigar Single,B&M Reg single,BLACK & M 1.39 ORIGINAL UPR 25,True,7013783435,"{'id': 'MEYJSYN1AFS8P', 'name': 'Black & Mild N Cigar Single'}",DC Grocery Cash & Carry
RP824NX2JJ0K4,90,The receipt item mentions 'Bambu Classic Paper' which closely matches the 'Big Bambu Classic- Rolling Paper' inventory item. The quantity and size also match.,Big Bambu Classic- Rolling Paper,Bambu paper,BAMBU CLASSIC PAPER 50/32 SHEET,True,7601300006,"{'id': 'RP824NX2JJ0K4', 'name': 'Big Bambu Classic- Rolling Paper'}",DC Grocery Cash & Carry
MEYJSYN1AFS8P,80,"The receipt item mentions 'BLACK & M 1.19 JAZZ', which closely matches the inventory item 'Black & Mild Cigar Jazz'. The size and quantity also align.",Black & Mild N Cigar Single,B&M Reg single,BLACK & M 1.19 JAZZ UPR 25,True,7013751489,"{'id': 'MEYJSYN1AFS8P', 'name': 'Black & Mild N Cigar Single'}",DC Grocery Cash & Carry
D09TAC6ZRQBWT,70,"The receipt item mentions 'TOP CIGARETTE PAPER 24CT' which is similar to 'Nissin Top Ramen Beef Flavor Noodle Soup 3 Oz' in terms of the 'Top' brand name and the quantity of '24CT'. Although the products are different, the brand name similarity and quantity match make this the best match.",Nissin Top Ramen Beef Flavor Noodle Soup 3 Oz,nissan ramen beef 3oz,TOP CIGARETTE PAPER 24CT,True,7717051001,"{'id': 'D09TAC6ZRQBWT', 'name': 'Nissin Top Ramen Beef Flavor Noodle Soup 3 Oz'}",DC Grocery Cash & Carry
X6X70GZ129F4M,90,"The receipt item 'COPENHAGEN ORIGINAL LONG CUT 5 CT' matches the inventory item 'Copenhagen long cut' in terms of brand, product type, and quantity.",Copenhagen long cut,Copenhagen long cut,COPENHAGEN ORIGINAL LONG CUT 5 CT,True,7310001461,"{'id': 'X6X70GZ129F4M', 'name': 'Copenhagen long cut'}",DC Grocery Cash & Carry
